induction,electrostatics,dispersion,total,exchange
-0.00460574,-0.49620293,-0.02524141,-0.52204056,0.00400952
-0.10401586,-1.04212838,-0.24640023,-0.70095182,0.69159266
2.40728386,-38.3787989,-5.00528441,55.70382631,96.68062577
-0.1000631,-1.3485508,-0.22645428,-1.16104443,0.51402375
-3.57803513,-9.84874558,-2.04960284,0.75757263,16.23395619
-0.88127121,-5.34556753,-1.17425783,0.56134025,7.96243682
-0.32818256,0.76196967,-0.55850318,2.92601805,3.05073413
-0.99539988,-1.25962219,-1.05158002,1.54733223,4.85393432
-0.93772738,-1.47336301,-0.86719042,1.27844062,4.55672143
-0.00777279,0.57628899,-0.02900391,0.54303592,0.00352363
-0.25946452,-2.74944076,-0.32833164,-2.020915,1.31632192
-0.1472985,-1.40506828,-0.29561587,-1.32895247,0.51903018
4.97575122,-46.28464181,-5.86471693,69.1919261,116.36553362
-0.00440442,-0.38666347,-0.02570278,-0.41396234,0.00280833
-0.05961528,0.83205634,-0.16865401,0.86881404,0.26502699
-0.01927234,0.74028687,-0.05578586,0.68743879,0.02221012
-0.80397873,0.91212367,-1.03689917,4.88483661,5.81359084
-0.01819621,-0.82328641,-0.05455624,-0.86689273,0.02914613
-0.00205827,-0.17865139,-0.01243686,-0.19297205,0.00017448
-0.27598383,-0.40809028,-0.48350621,0.48329479,1.65087511
-0.00937323,0.76336651,-0.02826344,0.72833909,0.00260925
-0.02210922,0.80758501,-0.05727602,0.74306031,0.01486053
-0.00253616,-0.0926836,-0.00899993,-0.10420022,1.947e-05
-0.00285184,0.24306625,-0.0187136,0.22251672,0.00101591
-0.62114317,-3.51466331,-0.84371184,0.66069406,5.64021238
-0.35779244,-3.65161734,-0.4871678,-2.32848385,2.16809373
-0.31854241,-0.61714205,-0.46687197,-0.10307872,1.29947771
-0.40311538,-3.14475767,-0.65635443,-1.09232737,3.11190012
-0.01636503,0.40971553,-0.05185633,0.35095012,0.00945595
-0.02542029,0.76635458,-0.07388767,0.70777605,0.04072943
-0.09924796,-1.55442566,-0.19073751,-1.42747888,0.41693226
-0.00832515,-0.51927096,-0.04405026,-0.55816258,0.01348379
-0.73929838,-26.62493694,-4.964669,49.25844378,81.58734809
-0.00570549,-0.07072704,-0.01865252,-0.09444685,0.0006382
-2.23862387,-21.60090622,-3.42292818,20.74136795,48.00382622
-0.03798449,0.16877537,-0.09322597,0.15642388,0.11885897
-0.27593423,-2.11714562,-0.40159618,-0.99796198,1.79671405
-1.02739836,0.6686817,-1.42763135,9.34485937,11.13120738
-0.00808433,0.07506235,-0.03157266,0.04287619,0.00747082
-0.01640402,-0.43916513,-0.06489332,-0.49264026,0.02782222
-0.01223796,0.04782728,-0.04915387,0.0042253,0.01778985
-1.48750105,-7.17928332,-2.04024705,11.76282908,22.4698605
-0.12939277,-0.84137684,-0.25584834,-0.4408224,0.78579556
-0.65591577,0.18528298,-1.24481579,5.74080535,7.45625393
-0.01061819,-0.4751749,-0.03235881,-0.51332588,0.00482602
-0.07833286,-0.72699196,-0.2269674,-0.36078062,0.67151161
-0.27259496,-0.90570692,-0.40490097,0.73755962,2.32076246
-0.0676356,0.74188978,-0.15231064,0.80734621,0.28540267
-0.14433418,-1.91435339,-0.20127667,-1.84987253,0.41009171
-0.09429319,-0.38288452,-0.20407515,-0.31145629,0.36979657
-0.01249444,0.11494576,-0.04298929,0.06586794,0.00640591
-0.01041257,0.31212625,-0.03889319,0.27724435,0.01442385
-0.01265194,0.50992678,-0.03465523,0.46931856,0.00669896
-0.12493383,1.25762243,-0.19431251,1.20499928,0.26662318
-0.08258737,1.6227894,-0.1952728,1.62976284,0.28483362
-0.05919211,0.79392752,-0.10736054,0.73509223,0.10771736
-1.62573636,-6.84387669,-1.53750437,1.46270303,11.46982046
-3.67605654,-10.90613769,-2.95195051,7.61002244,25.14416717
-0.07583884,1.31150904,-0.1450874,1.32687412,0.23629132
-0.01022736,0.5007215,-0.04696499,0.46522859,0.02169944
-0.02101697,0.45231386,-0.06863406,0.39538329,0.03272046
-1.31696674,-1.87774541,-1.44194417,12.1638505,16.80050682
-0.04779231,-1.6982105,-0.1205436,-1.73673465,0.12981176
-0.00307465,-0.34444532,-0.0088469,-0.35633092,3.594e-05
-0.02118873,-0.53601829,-0.07116509,-0.5990088,0.02936332
-0.01416557,-0.26224905,-0.04839068,-0.30543126,0.01937404
-0.03428865,-0.02920976,-0.09659637,-0.10022185,0.05987293
-0.04745551,-0.60963643,-0.11078724,-0.57785418,0.190025
-0.06611487,-0.9007778,-0.17196563,-0.9665303,0.172328
-1.8514801,-6.55927883,-2.2996478,14.0458739,24.75628063
-0.02088081,-0.05094999,-0.05794978,-0.11304873,0.01673187
-0.31032537,-0.56394709,-0.49434777,1.78346804,3.15208827
-0.74426843,0.6580944,-1.01736701,4.3765347,5.48007574
-0.08732677,0.4336479,-0.19953174,0.78145124,0.63466186
-0.18733905,-2.74206882,-0.32461302,-2.24199317,1.01202772
-0.05598193,1.1640529,-0.10531952,1.09432746,0.09157601
-1.09015256,-7.11187476,-2.20481564,25.75078382,36.15762678
-0.10913631,-0.28689625,-0.21954356,-0.10710692,0.5084692
-0.02140932,-0.57311506,-0.05862829,-0.63329082,0.01986185
-0.10697362,2.60375154,-0.14649028,2.60471638,0.25442873
-0.05563459,-1.5439064,-0.10471803,-1.58617679,0.11808223
-0.00318863,0.33411304,-0.01584993,0.31570937,0.00063489
-0.8795727,-21.38902955,-3.08674521,20.64432366,45.99967113
-3.11040464,-6.4156844,-2.1558806,3.02336511,14.70533475
-0.04165939,0.36230112,-0.09973078,0.36746342,0.14655246
-3.28415991,-11.4813468,-2.40288671,4.82158316,21.98997658
-0.03275525,0.93816277,-0.09134654,0.90760039,0.09353941
-0.67035718,-4.08094472,-0.82122457,0.02497914,5.5975056
-0.39575383,2.57014787,-0.47747234,3.85138371,2.15446201
-0.15115689,-1.12882132,-0.28233278,-0.98278897,0.57952202
-0.17560975,1.41350536,-0.25726297,1.43449158,0.45385893
-0.00685372,-0.15341412,-0.02845065,-0.18229227,0.00642622
-0.00310016,-0.06914236,-0.02088793,-0.09192641,0.00120404
-5.23141215,-26.08226463,-4.80392927,24.68283262,60.80043867
-0.57826226,-0.29316752,-0.72669804,2.30118551,3.89931332
-0.14515172,-2.05186836,-0.1617299,-2.11502406,0.24372592
-0.38713886,-21.60873128,-3.69992367,36.59478248,62.29057629
-3.0651657,-0.19149907,-2.08899868,7.07716328,12.42282673
-0.04201702,-1.38817474,-0.0948147,-1.47055353,0.05445293
-3.11654479,-20.99424812,-3.00993725,7.24857143,34.3693016
-0.01064848,-0.64313634,-0.03890632,-0.68820319,0.00448794
-0.00288375,-0.34506214,-0.01203357,-0.35988774,9.172e-05
-0.03612514,-0.52098987,-0.10521037,-0.57803692,0.08428845
-1.41107411,-7.15916909,-1.56590913,0.74445373,10.88060606
-0.11634756,-0.85672227,-0.21194299,-0.70980305,0.47520977
-0.21857332,-1.64908887,-0.38827108,-0.71600216,1.53993112
-0.02304532,0.42269503,-0.05166933,0.35855948,0.01057911
-0.00670511,-0.65805946,-0.02099686,-0.68497714,0.0007843
-0.01781422,0.06197661,-0.05367727,0.00373361,0.01324848
-0.14877233,0.72060944,-0.24399352,1.38261351,1.05476992
-0.36487066,-1.89463939,-0.55097451,-0.19864965,2.61183492
-0.89776305,0.62520535,-1.09574554,9.96965031,11.33795355
-0.00277151,0.38397422,-0.01291783,0.36854297,0.00025809
-0.06281304,0.28669518,-0.13286321,0.23449567,0.14347675
-3.24442775,-12.62598017,-2.49993184,5.47061429,23.84095404
-0.01702795,0.45060239,-0.0378205,0.4017936,0.00603966
-0.05012985,1.52690626,-0.0828927,1.49809287,0.10420916
-0.00652422,0.31011909,-0.0246086,0.28210778,0.00312151
-0.00982707,-0.1917877,-0.03821502,-0.22908676,0.01074302
-2.09042453,-9.33619462,-1.71522348,-1.40482238,11.73702025
-0.06506032,-0.5336264,-0.15510155,-0.50023631,0.25355197
-0.49527188,-0.02935669,-0.66269927,1.02961143,2.21693927
-0.82185608,-5.32769388,-0.86593221,-1.01918835,5.99629383
-0.07127214,0.61031177,-0.16129037,0.63568813,0.25793886
-0.16673522,0.79143455,-0.25170439,0.83666233,0.46366739
-0.00240099,-0.31603156,-0.01305205,-0.33122301,0.0002616
-0.05502063,-0.36572213,-0.16058393,-0.35225565,0.22907104
-0.03033665,-0.88516918,-0.08946293,-0.95196969,0.05299908
-6.20349532,-18.71223866,-3.22640872,3.6531907,31.79533341
-1.44324957,-5.13595149,-1.17297512,-0.87255949,6.87961669
-0.46172625,-1.93129528,-0.6659228,0.36216397,3.4211083
-0.02468861,0.17552914,-0.07038763,0.10890423,0.02845133
